1	Indrayanti	indah pantai sayang perintah kurang peduli akses jalan jalan sempit sisip bus bikin macet kunjung tingkat akses lebar jalan kesana	['indah', 'pantai', 'sayang', 'perintah', 'kurang', 'peduli', 'akses', 'jalan', 'jalan', 'sempit', 'sisip', 'bus', 'bikin', 'macet', 'kunjung', 'tingkat', 'akses', 'lebar', 'jalan', 'kesana']	Negatif
1	Indrayanti	view bagus resto resto indrayanti masakan lumayan harga sesuai sayang banyak ubur bulu babi banyak main air sengat hewan rescue cepat	['view', 'bagus', 'resto', 'resto', 'indrayanti', 'masakan', 'lumayan', 'harga', 'sesuai', 'sayang', 'banyak', 'ubur', 'bulu', 'babi', 'banyak', 'main', 'air', 'sengat', 'hewan', 'rescue', 'cepat']	Negatif
1	Indrayanti	bersih dagang banyak tutup view bagus	['bersih', 'dagang', 'banyak', 'tutup', 'view', 'bagus']	Negatif
1	Indrayanti	oke main foto makan minum tempat bersih biar lalat banget 	['oke', 'main', 'foto', 'makan', 'minum', 'tempat', 'bersih', 'biar', 'lalat', 'banget', '']	Negatif
1	Indrayanti	sampah tolong sampah letak tempat banyak	['sampah', 'tolong', 'sampah', 'letak', 'tempat', 'banyak']	Negatif
1	Indrayanti	fasilitas kurang banyak toilet jajan mahal	['fasilitas', 'kurang', 'banyak', 'toilet', 'jajan', 'mahal']	Negatif
1	Indrayanti	pantai larang renang batu pasir bahaya renang fasilitas ada recomended turis	['pantai', 'larang', 'renang', 'batu', 'pasir', 'bahaya', 'renang', 'fasilitas', 'ada', 'recomended', 'turis']	Negatif
1	Indrayanti	pantai bersih batu karang air jernih sayang bilas kurang banyak ibadah kurang luas	['pantai', 'bersih', 'batu', 'karang', 'air', 'jernih', 'sayang', 'bilas', 'kurang', 'banyak', 'ibadah', 'kurang', 'luas']	Negatif
1	Indrayanti	puas huhuhuhmmmm	['puas', 'huhuhuhmmmm']	Positif
1	Indrayanti	waktu indah momen lupa kelas waktu kesana teka lovyu yu pantai indrayanti	['waktu', 'indah', 'momen', 'lupa', 'kelas', 'waktu', 'kesana', 'teka', 'lovyu', 'yu', 'pantai', 'indrayanti']	Positif
1	Indrayanti	ombak kadang bahaya	['ombak', 'kadang', 'bahaya']	Negatif
1	Indrayanti	jauh banget lokasi macet kadang	['jauh', 'banget', 'lokasi', 'macet', 'kadang']	Negatif
1	Indrayanti	pantai indah ombak gelombang tinggi coba cobaain tengah laut kidul kenal ombak jalan lumayan jogjakarta	['pantai', 'indah', 'ombak', 'gelombang', 'tinggi', 'coba', 'cobaain', 'tengah', 'laut', 'kidul', 'kenal', 'ombak', 'jalan', 'lumayan', 'jogjakarta']	Negatif
1	Indrayanti	pantai pasir putih ramai ombak lumayan rekomendasi pas pagi panas enak pagi sejuk pas sunset nyoba	['pantai', 'pasir', 'putih', 'ramai', 'ombak', 'lumayan', 'rekomendasi', 'pas', 'pagi', 'panas', 'enak', 'pagi', 'sejuk', 'pas', 'sunset', 'nyoba']	Positif
1	Indrayanti	pantai indah pandang indah jarak jauh pantai indah	['pantai', 'indah', 'pandang', 'indah', 'jarak', 'jauh', 'pantai', 'indah']	Positif
1	Indrayanti	pantai indah ramai unjung jogja istimewa	['pantai', 'indah', 'ramai', 'unjung', 'jogja', 'istimewa']	Positif
1	Indrayanti	pantai bagus anak anak suka	['pantai', 'bagus', 'anak', 'anak', 'suka']	Positif
1	Indrayanti	cocok libur keluarga	['cocok', 'libur', 'keluarga']	Positif
1	Indrayanti	pantai bersih indah ombak	['pantai', 'bersih', 'indah', 'ombak']	Positif
1	Indrayanti	benar bagus gengs tempat htm murah pol parkir gratis abang foto keliling bayar rb file foto	['benar', 'bagus', 'gengs', 'tempat', 'htm', 'murah', 'pol', 'parkir', 'gratis', 'abang', 'foto', 'keliling', 'bayar', 'rb', 'file', 'foto']	Positif
1	Indrayanti	lokasi jauh	['lokasi', 'jauh']	Negatif
1	Indrayanti	indah keanekaragaman biota laut sana bintang laut	['indah', 'keanekaragaman', 'biota', 'laut', 'sana', 'bintang', 'laut']	Positif
1	Indrayanti	eksotis	['eksotis']	Positif
1	Indrayanti	deskripsi pantai pulang sawal singkat pantai pulsa salah pantai tarik eksotis dusun ngasem	['deskripsi', 'pantai', 'pulang', 'sawal', 'singkat', 'pantai', 'pulsa', 'salah', 'pantai', 'tarik', 'eksotis', 'dusun', 'ngasem']	Positif
1	Indrayanti	sesal kemari pantai bagus banget	['sesal', 'kemari', 'pantai', 'bagus', 'banget']	Positif
1	Indrayanti	ramai banyak tinggal sampah	['ramai', 'banyak', 'tinggal', 'sampah']	Negatif
1	Indrayanti	ramai pandang	['ramai', 'pandang']	Negatif
1	Indrayanti	pantai indah letak dekat pantai lai menang cantik kesini pas surut ikan daerah karang	['pantai', 'indah', 'letak', 'dekat', 'pantai', 'lai', 'menang', 'cantik', 'kesini', 'pas', 'surut', 'ikan', 'daerah', 'karang']	Positif
1	Indrayanti	pandang atas tebing sungguh bagus atas bayar	['pandang', 'atas', 'tebing', 'sungguh', 'bagus', 'atas', 'bayar']	Positif
1	Indrayanti	kotor	['kotor']	Negatif
